id,text,label
1,"Quero cancelar o contrato ainda este mês.",churn_risk
2,"Se continuar assim, vamos trocar de fornecedor.",churn_risk
3,"Não pretendo renovar o Protheus no próximo ciclo.",churn_risk
4,"A equipe decidiu encerrar o uso da plataforma.",churn_risk
5,"Tivemos muitos problemas e vamos sair.",churn_risk
6,"O sistema não funcionou e estou pensando em cancelar.",churn_risk
7,"Já contratamos outro fornecedor para substituir vocês.",churn_risk
8,"Não vale a pena continuar com esse contrato.",churn_risk
9,"Quero iniciar a rescisão do serviço.",churn_risk
10,"Essa experiência foi péssima e não quero mais usar.",churn_risk
11,"Se o suporte não melhorar, vou cancelar.",churn_risk
12,"Estamos avaliando parar de usar o RM.",churn_risk
13,"Não tivemos resultado e vamos encerrar a parceria.",churn_risk
14,"Cansei dos erros e quero finalizar o contrato.",churn_risk
15,"O diretor pediu para migrarmos para outro sistema.",churn_risk
16,"A renovação está descartada neste momento.",churn_risk
17,"Não vou continuar pagando por uma solução instável.",churn_risk
18,"Pretendemos abandonar a ferramenta no trimestre.",churn_risk
19,"Estou muito insatisfeito e quero sair.",churn_risk
20,"Podem cancelar todas as licenças da conta.",churn_risk
21,"O valor está acima do nosso orçamento.",price_objection
22,"O Protheus ficou caro para a nossa operação.",price_objection
23,"Precisamos de um desconto para fechar a renovação.",price_objection
24,"O concorrente apresentou uma proposta mais barata.",price_objection
25,"Esse preço não cabe no budget aprovado.",price_objection
26,"O custo-benefício parece ruim.",price_objection
27,"Tem como reduzir o valor mensal?",price_objection
28,"A diretoria achou a proposta muito cara.",price_objection
29,"Não temos verba para contratar agora.",price_objection
30,"O preço por usuário está muito alto.",price_objection
31,"Conseguimos fechar por um valor menor?",price_objection
32,"Precisamos negociar o reajuste do contrato.",price_objection
33,"A mensalidade estourou nosso orçamento.",price_objection
34,"Existe algum plano mais em conta?",price_objection
35,"O investimento não compensa para uma equipe pequena.",price_objection
36,"Recebi uma oferta com cinquenta por cento de desconto.",price_objection
37,"A proposta ficou salgada demais.",price_objection
38,"O financeiro não aprovou esse custo.",price_objection
39,"Queremos rever os preços das licenças.",price_objection
40,"Esse valor está fora da realidade da empresa.",price_objection
41,"Queremos adicionar mais usuários ao Fluig.",upsell_opportunity
42,"Existe um módulo adicional para automação fiscal?",upsell_opportunity
43,"A empresa cresceu e precisamos ampliar as licenças.",upsell_opportunity
44,"Gostaria de fazer upgrade para o plano completo.",upsell_opportunity
45,"Podemos incluir o módulo de folha no RM?",upsell_opportunity
46,"Precisamos expandir o uso para outras filiais.",upsell_opportunity
47,"Quero conhecer funcionalidades adicionais do Protheus.",upsell_opportunity
48,"Vamos contratar mais acessos para a nova equipe.",upsell_opportunity
49,"Tem como integrar um novo módulo ao pacote?",upsell_opportunity
50,"Estamos interessados em aumentar o escopo do contrato.",upsell_opportunity
51,"A diretoria aprovou a expansão para cem usuários.",upsell_opportunity
52,"Quero uma proposta para licenças extras.",upsell_opportunity
53,"Podemos subir para um plano com mais recursos?",upsell_opportunity
54,"A nova unidade também precisa usar a plataforma.",upsell_opportunity
55,"Gostaria de adicionar treinamento premium.",upsell_opportunity
56,"Queremos levar o sistema para todo o grupo.",upsell_opportunity
57,"Há oportunidade de contratar o módulo de analytics.",upsell_opportunity
58,"Preciso incluir mais pessoas ainda neste mês.",upsell_opportunity
59,"Vamos ampliar a automação com o Datasul.",upsell_opportunity
60,"Quais opções existem para expandir nossa conta?",upsell_opportunity
61,"Estamos satisfeitos com os resultados do sistema.",satisfaction
62,"O atendimento foi excelente esta semana.",satisfaction
63,"A implantação deu certo e a equipe gostou.",satisfaction
64,"O Protheus está funcionando muito bem.",satisfaction
65,"Tivemos um ótimo retorno do suporte.",satisfaction
66,"A plataforma trouxe bons resultados.",satisfaction
67,"Estamos felizes com a automação entregue.",satisfaction
68,"O time considerou a experiência positiva.",satisfaction
69,"Tudo está rodando bem depois da atualização.",satisfaction
70,"A solução superou nossas expectativas.",satisfaction
71,"Gostei muito da nova funcionalidade.",satisfaction
72,"O atendimento foi rápido e resolveu o problema.",satisfaction
73,"A equipe está bem satisfeita com o Fluig.",satisfaction
74,"O projeto foi concluído com sucesso.",satisfaction
75,"Valeu a pena investir nessa melhoria.",satisfaction
76,"O sistema está estável e confiável.",satisfaction
77,"Recebemos elogios dos usuários internos.",satisfaction
78,"Os indicadores melhoraram bastante.",satisfaction
79,"A operação ficou mais eficiente com a ferramenta.",satisfaction
80,"O treinamento foi excelente e muito claro.",satisfaction
81,"Bom dia, podemos iniciar a reunião?",neutral
82,"Vou compartilhar a pauta com todos.",neutral
83,"A próxima reunião ficou marcada para segunda.",neutral
84,"O contrato termina em dezembro.",neutral
85,"Temos vinte usuários cadastrados atualmente.",neutral
86,"O responsável pelo projeto é o gerente de TI.",neutral
87,"Vamos revisar os dados antes de decidir.",neutral
88,"A equipe utiliza o sistema todos os dias.",neutral
89,"Preciso confirmar essa informação com o financeiro.",neutral
90,"Podemos agendar uma demonstração para amanhã?",neutral
91,"O relatório foi enviado por e-mail.",neutral
92,"Nossa operação possui três filiais.",neutral
93,"A versão atual foi instalada no mês passado.",neutral
94,"Vou registrar os pontos discutidos na ata.",neutral
95,"A apresentação começa às dez horas.",neutral
96,"O departamento jurídico está analisando o documento.",neutral
97,"Ainda não temos uma decisão sobre o tema.",neutral
98,"A equipe solicitou mais detalhes técnicos.",neutral
99,"Vamos validar o cronograma com os envolvidos.",neutral
100,"Obrigado pela participação de todos.",neutral
